	Price Matrix for Scan-to-BIM																
																	
																	
1	Residential Standard (Single Family)																
	Independent housing units designed for individual households, the predominant form in private, single-occupancy neighborhoods.																
																	
																	
	Discipline →	Architecture				Structure				MEPF				Site/topography			
	Area ↓	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+
	10k-20k	0.085	0.125	0.165	0.203	0.030	0.050	0.055	0.065	0.085	0.095	0.100	0.105	0.010	0.011	0.013	0.018
	20k-30k	0.080	0.120	0.151	0.177	0.025	0.045	0.050	0.060	0.085	0.095	0.100	0.105	0.010	0.011	0.013	0.018
	30k-40k	0.085	0.125	0.156	0.181	0.020	0.040	0.045	0.055	0.065	0.075	0.080	0.085	0.010	0.010	0.012	0.016
	40k-50k	0.080	0.120	0.150	0.175	0.015	0.035	0.040	0.050	0.060	0.070	0.075	0.080	0.010	0.010	0.012	0.016
	50k-75k	0.065	0.105	0.122	0.142	0.010	0.030	0.035	0.045	0.060	0.070	0.075	0.080	0.010	0.010	0.012	0.014
	75k-100k	0.045	0.075	0.101	0.118	0.010	0.025	0.030	0.040	0.060	0.070	0.075	0.080	0.010	0.010	0.010	0.014
	100k+	0.030	0.050	0.064	0.076	0.010	0.020	0.025	0.035	0.055	0.065	0.070	0.075	0.010	0.010	0.010	0.012
																	
11	Warehouse/Storage/Fulfillment centre																
	A facility designed for the storage, organization, and distribution of goods, serving as a central hub for inventory management and order fulfillment.																
																	
																	
	Discipline →	Architecture				Structure				MEPF				Site/topography			
	Area ↓	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+
	0-5k	0.095	0.135	0.182	0.223	0.070	0.090	0.100	0.110	0.040	0.050	0.055	0.060	0.010	0.012	0.015	0.020
	5k-10k	0.090	0.130	0.171	0.210	0.065	0.085	0.090	0.100	0.040	0.050	0.055	0.060	0.010	0.012	0.015	0.020
	10k-20k	0.085	0.125	0.165	0.203	0.060	0.080	0.085	0.095	0.035	0.045	0.050	0.055	0.010	0.011	0.013	0.018
	20k-30k	0.070	0.110	0.151	0.177	0.055	0.075	0.080	0.090	0.035	0.045	0.050	0.055	0.010	0.011	0.013	0.018
	30k-40k	0.065	0.100	0.151	0.176	0.040	0.060	0.065	0.075	0.030	0.040	0.045	0.050	0.010	0.010	0.012	0.016
	40k-50k	0.060	0.090	0.145	0.170	0.035	0.055	0.060	0.070	0.025	0.035	0.040	0.045	0.010	0.010	0.012	0.016
	50k-75k	0.050	0.085	0.117	0.137	0.030	0.050	0.055	0.065	0.025	0.035	0.040	0.045	0.010	0.010	0.012	0.014
	75k-100k	0.040	0.055	0.096	0.113	0.030	0.045	0.050	0.060	0.025	0.035	0.040	0.045	0.010	0.010	0.010	0.014
	100k+	0.025	0.045	0.059	0.071	0.030	0.040	0.045	0.055	0.020	0.030	0.035	0.040	0.010	0.010	0.010	0.012
																	
12	Church/Temples/Religious building																
	A sacred space designed for worship, religious ceremonies, and community gatherings, reflecting architectural and spiritual significance.																
																	
																	
	Discipline →	Architecture				Structure				MEPF				Site/topography			
	Area ↓	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+
	0-5k	0.130	0.170	0.217	0.258	0.040	0.060	0.070	0.080	0.025	0.035	0.040	0.045	0.010	0.012	0.015	0.020
	5k-10k	0.125	0.165	0.206	0.245	0.035	0.055	0.060	0.070	0.025	0.035	0.040	0.045	0.010	0.012	0.015	0.020
	10k-20k	0.120	0.160	0.200	0.238	0.030	0.050	0.055	0.065	0.020	0.030	0.035	0.040	0.010	0.011	0.013	0.018
	20k-30k	0.115	0.155	0.186	0.212	0.025	0.045	0.050	0.060	0.020	0.030	0.035	0.040	0.010	0.011	0.013	0.018
	30k-40k	0.105	0.145	0.176	0.201	0.020	0.040	0.045	0.055	0.020	0.030	0.035	0.040	0.010	0.010	0.012	0.016
	40k-50k	0.100	0.140	0.170	0.195	0.015	0.035	0.040	0.050	0.015	0.025	0.030	0.035	0.010	0.010	0.012	0.016
	50k-75k	0.085	0.125	0.142	0.162	0.010	0.030	0.035	0.045	0.015	0.025	0.030	0.035	0.010	0.010	0.012	0.014
	75k-100k	0.065	0.095	0.121	0.138	0.010	0.025	0.030	0.040	0.015	0.025	0.030	0.035	0.010	0.010	0.010	0.014
	100k+	0.050	0.070	0.084	0.096	0.010	0.020	0.025	0.035	0.010	0.020	0.025	0.030	0.010	0.010	0.010	0.012
																	
13	Infrastructure/Roads/Bridges																
	Infrastructure includes foundational facilities; roads serve as transport routes, and bridges are structures enabling passage over obstacles such as rivers or roads.																
																	
																	
	Discipline →	Architecture				Structure				MEPF				Site/topography			
	Area ↓	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+
	0-5k	0.040	0.060	0.070	0.080	0.120	0.160	0.180	0.200	0.025	0.035	0.040	0.045	0.020	0.022	0.025	0.030
	5k-10k	0.035	0.055	0.060	0.070	0.115	0.155	0.170	0.190	0.025	0.035	0.040	0.045	0.020	0.022	0.025	0.030
	10k-20k	0.030	0.050	0.055	0.065	0.110	0.150	0.165	0.180	0.020	0.030	0.035	0.040	0.020	0.021	0.023	0.028
	20k-30k	0.025	0.045	0.050	0.060	0.105	0.145	0.160	0.170	0.020	0.030	0.035	0.040	0.020	0.021	0.023	0.028
	30k-40k	0.020	0.040	0.045	0.055	0.100	0.140	0.155	0.160	0.020	0.030	0.035	0.040	0.020	0.020	0.022	0.026
	40k-50k	0.015	0.035	0.040	0.050	0.095	0.135	0.150	0.155	0.015	0.025	0.030	0.035	0.020	0.020	0.022	0.026
	50k-75k	0.010	0.030	0.035	0.045	0.080	0.120	0.130	0.135	0.015	0.025	0.030	0.035	0.020	0.020	0.022	0.024
	75k-100k	0.010	0.025	0.030	0.040	0.060	0.090	0.110	0.120	0.015	0.025	0.030	0.035	0.020	0.020	0.020	0.024
	100k+	0.010	0.020	0.025	0.035	0.045	0.065	0.075	0.085	0.010	0.020	0.025	0.030	0.020	0.020	0.020	0.022
