"id","building_type_id","area_tier","discipline","lod","rate_per_sq_ft","updated_at","updated_by"
"310","3","5k-10k","structure","lod300","0.195","""2025-10-13T19:48:59.300Z""",
"311","3","5k-10k","structure","lod350","0.210","""2025-10-13T19:48:59.300Z""",
"312","3","5k-10k","structure","lod350plus","0.240","""2025-10-13T19:48:59.300Z""",
"313","3","5k-10k","mepf","lod200","0.105","""2025-10-13T19:48:59.300Z""",
"314","3","5k-10k","mepf","lod300","0.135","""2025-10-13T19:48:59.300Z""",
"315","3","5k-10k","mepf","lod350","0.150","""2025-10-13T19:48:59.300Z""",
"316","3","5k-10k","mepf","lod350plus","0.165","""2025-10-13T19:48:59.300Z""",
"317","3","5k-10k","site","lod200","0.045","""2025-10-13T19:48:59.300Z""",
"318","3","5k-10k","site","lod300","0.051","""2025-10-13T19:48:59.300Z""",
"319","3","5k-10k","site","lod350","0.060","""2025-10-13T19:48:59.300Z""",
"320","3","5k-10k","site","lod350plus","0.075","""2025-10-13T19:48:59.300Z""",
"321","3","10k-20k","architecture","lod200","0.719","""2025-10-13T19:48:59.300Z""",
"322","3","10k-20k","architecture","lod300","0.949","""2025-10-13T19:48:59.300Z""",
"323","3","10k-20k","architecture","lod350","1.179","""2025-10-13T19:48:59.300Z""",
"324","3","10k-20k","architecture","lod350plus","1.397","""2025-10-13T19:48:59.300Z""",
"325","3","10k-20k","structure","lod200","0.100","""2025-10-13T19:48:59.300Z""",
"326","3","10k-20k","structure","lod300","0.150","""2025-10-13T19:48:59.300Z""",
