"id","building_type_id","area_tier","discipline","lod","rate_per_sq_ft","updated_at"
"135","1","100k+","structure","lod350","0.020","""2025-10-22T14:14:40.632Z"""
"136","1","100k+","structure","lod350plus","0.030","""2025-10-22T14:14:40.632Z"""
"137","1","100k+","mepf","lod200","0.010","""2025-10-22T14:14:40.632Z"""
"138","1","100k+","mepf","lod300","0.015","""2025-10-22T14:14:40.632Z"""
"139","1","100k+","mepf","lod350","0.020","""2025-10-22T14:14:40.632Z"""
"140","1","100k+","mepf","lod350plus","0.025","""2025-10-22T14:14:40.632Z"""
"141","1","100k+","site","lod200","0.010","""2025-10-22T14:14:40.632Z"""
"142","1","100k+","site","lod300","0.010","""2025-10-22T14:14:40.632Z"""
"143","1","100k+","site","lod350","0.010","""2025-10-22T14:14:40.632Z"""
"144","1","100k+","site","lod350plus","0.012","""2025-10-22T14:14:40.632Z"""
"145","2","0-5k","architecture","lod200","0.120","""2025-10-22T14:14:40.632Z"""
"146","2","0-5k","architecture","lod300","0.160","""2025-10-22T14:14:40.632Z"""
"147","2","0-5k","architecture","lod350","0.207","""2025-10-22T14:14:40.632Z"""
"148","2","0-5k","architecture","lod350plus","0.248","""2025-10-22T14:14:40.632Z"""
"149","2","0-5k","structure","lod200","0.040","""2025-10-22T14:14:40.632Z"""
"150","2","0-5k","structure","lod300","0.060","""2025-10-22T14:14:40.632Z"""
"151","2","0-5k","structure","lod350","0.070","""2025-10-22T14:14:40.632Z"""
"152","2","0-5k","structure","lod350plus","0.080","""2025-10-22T14:14:40.632Z"""
"153","2","0-5k","mepf","lod200","0.025","""2025-10-22T14:14:40.632Z"""
"154","2","0-5k","mepf","lod300","0.035","""2025-10-22T14:14:40.632Z"""
"155","2","0-5k","mepf","lod350","0.040","""2025-10-22T14:14:40.632Z"""
"156","2","0-5k","mepf","lod350plus","0.045","""2025-10-22T14:14:40.632Z"""
"157","2","0-5k","site","lod200","0.010","""2025-10-22T14:14:40.632Z"""
"158","2","0-5k","site","lod300","0.012","""2025-10-22T14:14:40.632Z"""
"159","2","0-5k","site","lod350","0.015","""2025-10-22T14:14:40.632Z"""
"160","2","0-5k","site","lod350plus","0.020","""2025-10-22T14:14:40.632Z"""
"161","2","5k-10k","architecture","lod200","0.115","""2025-10-22T14:14:40.632Z"""
"162","2","5k-10k","architecture","lod300","0.155","""2025-10-22T14:14:40.632Z"""
"163","2","5k-10k","architecture","lod350","0.196","""2025-10-22T14:14:40.632Z"""
"164","2","5k-10k","architecture","lod350plus","0.235","""2025-10-22T14:14:40.632Z"""
"165","2","5k-10k","structure","lod200","0.035","""2025-10-22T14:14:40.632Z"""
"166","2","5k-10k","structure","lod300","0.055","""2025-10-22T14:14:40.632Z"""
"167","2","5k-10k","structure","lod350","0.060","""2025-10-22T14:14:40.632Z"""
"168","2","5k-10k","structure","lod350plus","0.070","""2025-10-22T14:14:40.632Z"""
"169","2","5k-10k","mepf","lod200","0.025","""2025-10-22T14:14:40.632Z"""
"170","2","5k-10k","mepf","lod300","0.035","""2025-10-22T14:14:40.632Z"""
"171","2","5k-10k","mepf","lod350","0.040","""2025-10-22T14:14:40.632Z"""
"172","2","5k-10k","mepf","lod350plus","0.045","""2025-10-22T14:14:40.632Z"""
"173","2","5k-10k","site","lod200","0.010","""2025-10-22T14:14:40.632Z"""
"174","2","5k-10k","site","lod300","0.012","""2025-10-22T14:14:40.632Z"""
"175","2","5k-10k","site","lod350","0.015","""2025-10-22T14:14:40.632Z"""
"176","2","5k-10k","site","lod350plus","0.020","""2025-10-22T14:14:40.632Z"""
"177","2","10k-20k","architecture","lod200","0.110","""2025-10-22T14:14:40.632Z"""
"178","2","10k-20k","architecture","lod300","0.150","""2025-10-22T14:14:40.632Z"""
"179","2","10k-20k","architecture","lod350","0.190","""2025-10-22T14:14:40.632Z"""
"180","2","10k-20k","architecture","lod350plus","0.228","""2025-10-22T14:14:40.632Z"""
"181","2","10k-20k","structure","lod200","0.030","""2025-10-22T14:14:40.632Z"""
"182","2","10k-20k","structure","lod300","0.050","""2025-10-22T14:14:40.632Z"""
"183","2","10k-20k","structure","lod350","0.055","""2025-10-22T14:14:40.632Z"""
"184","2","10k-20k","structure","lod350plus","0.065","""2025-10-22T14:14:40.632Z"""
"185","2","10k-20k","mepf","lod200","0.020","""2025-10-22T14:14:40.632Z"""
"186","2","10k-20k","mepf","lod300","0.030","""2025-10-22T14:14:40.632Z"""
"187","2","10k-20k","mepf","lod350","0.035","""2025-10-22T14:14:40.632Z"""
"188","2","10k-20k","mepf","lod350plus","0.040","""2025-10-22T14:14:40.632Z"""
"189","2","10k-20k","site","lod200","0.010","""2025-10-22T14:14:40.632Z"""
